year,title,description,materials,status,mediaid,btnname,btnlink,medialink,altmedialink
2016,"Перформанс ""Портрет из прошлого""","В рамках Ночи Музеев 2016 совместно с музеем ""Разночинный Петербург"" был проведен перформанс в рамках которого человек мог получить мгновенную отцифровку портрета снятого на ретро-фотоопарат засчет радикальной модификации его конструкции.","историчкеские обьекты, фотокамера Зенит, электронные компоненты",-,mn2016,,,https://lh3.googleusercontent.com/pw/AP1GczO6Yb_hd2o3yuAmkWN_6wZ9zC7l9O2b5XTKNUXigYWErxtEqMgSgBCItLf6yv6Jt2-AQdztzvU8d4qqgl2kIaSzA7I6l9BECdgdmap3EN0njsJBefd5CSVOL-gjd8sOWoMK_o1ajW04gBX4mNh5DXk8fw=w1109-h1109-s-no-gm?authuser=0,
2016,BlinkUs,Интерактивное устройство ослеживающее моргания человека и позволяющее влиять на среду виртуальной реальности. Создано в рамках Junction 2016,"пластик, электронные компоненты",В музее лаборатории ОЛИМП в СПб,blinkus,,,https://lh3.googleusercontent.com/pw/AP1GczPuHdm-150bakOBuon_PpCM3oGKrkxXUyr2SI4Z2aVsJIh52P2AnqF3WoFJ1YlLrcUMdgzhp9fdOcL0V1N8IxTiCUGQkFSaqi-pev9BdqUN45yKBc2K1AI4kAtpn96RWXb76rzj3qSH3bO-9zFL2-s-qQ=w1080-h607-s-no-gm?authuser=0,
2017,Первое в СНГ платье напечатанное на 3д принтере,"Оригинальная конструкция модульной ткани, впервые выставленно на Гик-Пикник 2017.",ABS пластик,Переработано,3ddress,,,,
2017,Снегурочка 3000,Концептуальный костюм снегурочки созданный совместно с кафедрой дизайна костюма Академии искусств А.Л. Штиглица.,"ABS пластик, натуральные ткани",Переработано,3ddress2,,,https://lh3.googleusercontent.com/pw/AP1GczPcSJIikkAjB8N8rG6B4sGupnF7lk7AGfAhkbMLUfr2zyxs1pdm7HxLux0e5wr5XRlXTdtRa4vmugvArtYRIJXT66SyEI9TJvDvD1MDL6qkjX1o1zF3g5UAWvxUd2ctO1WE2zu8Kxe6vPUkBu4f-v_p4A=w831-h1109-s-no-gm?authuser=0,
2018,Честь мундира,"Фурнитура к форме почтальона и почтового чиновника императорской России для инсталяции ""почтовый вагон"" стиражированная с оригиналов 1903 года методом 3D-сканирования","фотополимер, полеуретан, медная пыль",В музее истории железных дорог СПб,postman,,,,
2018,unWatch,Умные часы на газоразрядных индикаторах в стиле ретрофутуризм.,"PLA пластик, газорарядные индикаторы, незадокументированный функционал",хранение,unwatch,,,https://lh3.googleusercontent.com/pw/AP1GczNTuEZArrNMD0gutfQx_UciW63o3P-vQ049lRL_7GxJRuIN9p9-eE9Z9BWzVux4Z6NOzWitDKfFCV10Pdo3Q3F7ABvZyAI9jGllOzJJTMyk3Fi9TopL0qODJhP66_4GUian_BkIfPVzCtg934F4uF3rWg=w624-h1109-s-no-gm?authuser=0,
2018,chips,Серьги из мертвых микроконтроллеров.,Мертвые микроконтроллеры,приобретены,chips,,,https://lh3.googleusercontent.com/pw/AP1GczMs7INOKs499ziP8u6lRcW7p_vd4JO-LKC93vuc5yGmj0BaLOke17ltpsXq35D5dVYmV5kFoiCbdFabAxomyx-56rI8W0DGeIa0uXbDVjGGjWcdhtsE8jfZRgiH4xw_bnFaQGpw-or2k_aFkLRl4ZMtBg=w831-h1109-s-no-gm?authuser=0,
2018,Цифровая загадка Майя,Таинственный сундук открывающий свои тайны лиш прозорливым. Интерактивная скульптура.,"дерево, электронные компоненты, тайные знания",регулярно выставляется в Петербурге,maya,,,https://lh3.googleusercontent.com/pw/AP1GczPXW0ue4SpESIVjYLSjmZBH3PNdyod576Zw0glx31Ufn4Nw6UjDksXPW_krkTaIL6OTApuYrhhV1d_vf8Sg7bdQp7nWHh1v0UNAK2mA-cKSeK4vTE94FuBYJPdBsrPBFdHUVXMQDNHMLSC3d6vqyAaIKA=w1479-h1109-s-no-gm?authuser=0,
2018,"Перформанс ""ненапряжные разговоры о напряжении""","Рассказываю о высоких напряжениях, без особого напряжения контролируя высоковольтные установки. Geek-Picnic 2018","вольты, амперы",-,current,,,https://lh3.googleusercontent.com/pw/AP1GczPFCg6OCG65I_ynFdKTeIInqpWShF5S1-v6w-dXK7Mywh2-MGkcg-8v_e3imfLTVb3hVZPOjIacabMySfvbblRrxrS7pIc9sKCGp-hRZ54ya65WEjXtc6Tc9H-oQqPk4qnOEjQLR5W_-JVV8TvE5thN8w=w624-h1109-s-k-no-gm?authuser=0,https://lh3.googleusercontent.com/pw/AP1GczN8hu3fv1VqZReSCA3a2Zcp9hTnCTzcuI0L1Hhk6eKL7sv9TnUckwtjb3ADRUa86ltTyllBuU0sPYEc6CU5Pi78XnLFQTFqr9Fb_UYTJnTiKwodFCjOsgAiIVX-EnDbKZmJpZoatk8C--N31PHGAcEcdw=w831-h1109-s-no-gm?authuser=0
2018,Концепт велосипеда,На концепте далеко не уедешь.,"полигоны, машинные часы",продолжает быть концептуальным,electrovel,,,https://lh3.googleusercontent.com/pw/AP1GczM2V-_CuLeVPhzA4nzufc4j5mr6KnZQIteCTnSImC80ZdwY26jDoZHE_0DGsTjQpR6I2jM46nYx27ROwwlMLbFBkOc9rrdXeqy_MZ99IsCz-oUiwQdC5xFJiBieVqHyr6IIBV_hQauVcSuTETAotbpJLw=w1056-h817-s-no-gm?authuser=0,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2021,Cyberpunk Trash Sign,"Cyberpunk2077 - inspired sign for a trash contatner Was indeed 3D-printed and put on authors trash bascket Represents what we already live in cyberpunk, but it is not what we expected.","полигоны, текстуры, эфириум",Доступен на rarible,cybertrash.webm,Rarible,https://rarible.com/token/0xd07dc4262bcdbf85190c01c996b4c06a461d2430:442029,https://assets.raribleuserdata.com/prod/v1/video/t_video_big/aHR0cHM6Ly9pcGZzLnJhcmlibGV1c2VyZGF0YS5jb20vaXBmcy9RbVh4VHhjZG9Od1FYbkw5bTdkYUZ0U0xFekNqdGVoaXc2UGdIMnB4MlViZlFqL2FuaW1hdGlvbi5tcDQ=,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2024,"Перформанс ""Кибернетическое Кабаре""","Небольшая постановка говорящая об опасностях, которые может принести неответственное обращение с современными технологиями.","участники, зрители, пространство",проведен,,,,,
,,,,,,,,,
2025,След в степи,"Гравировка на стекле, отражающая неизгладимый отпечаток человеческого присутствия в безграничной степи.","Стекло, лазерная резка",выставляется,,,,,
2025,Глоток в степи,"Инсталляция со стаканом, наполненным водой, символизирующая мимолетность и жизненно важный момент бытия.","Стакан, вода",выставляется,,,,,
2025,Вздох в степи,"Концептуальная инсталляция, где пустота оживляется медиапроекцией, передающая невидимую энергию и глубину смысла.","Медиапроекция, инсталляция",выставляется,,,,,